date,open,high,low,close,volume,openinterest
2015-01-05,8.532,8.79,8.308,8.664,5135687.0,0
2015-01-06,8.616,9.091,8.49,8.706,5116845.0,0
2015-01-07,8.546,8.734,8.287,8.483,3857168.0,0
2015-01-08,8.525,8.532,8.056,8.091,3306271.0,0
2015-01-09,8.056,8.79,7.993,8.217,4919999.0,0
2015-01-12,8.266,8.413,7.881,8.07,3677872.0,0
2015-01-13,8.007,8.203,7.986,8.042,1784049.0,0
2015-01-14,8.133,8.469,8.133,8.259,3090188.0,0
2015-01-15,8.259,8.72,8.189,8.699,3298268.0,0
2015-01-16,8.783,9.14,8.727,8.944,4802458.0,0
2015-01-19,8.182,8.427,7.79,7.79,6235208.0,0
2015-01-20,7.832,8.035,7.622,7.916,4792157.0,0
2015-01-21,7.986,8.525,7.783,8.434,4875403.0,0
2015-01-22,8.427,8.448,8.161,8.357,2947382.0,0
2015-01-23,8.434,8.643,8.294,8.357,3200429.0,0
2015-01-26,8.308,8.329,8.007,8.217,2685669.0,0
2015-01-27,8.224,8.224,7.741,7.923,3519140.0,0
2015-01-28,7.79,7.993,7.678,7.783,2422030.0,0
2015-01-29,7.622,7.692,7.441,7.511,2669680.0,0
2015-01-30,7.622,7.699,7.469,7.546,2078653.0,0
2015-02-02,7.259,7.399,7.21,7.245,2116176.0,0
2015-02-03,7.364,7.539,7.231,7.532,1962635.0,0
2015-02-04,7.567,7.629,7.301,7.343,1678962.0,0
2015-02-05,7.741,7.776,7.336,7.343,3943326.0,0
2015-02-06,7.28,7.441,7.182,7.28,1865475.0,0
2015-02-09,7.259,7.406,7.112,7.329,2245855.0,0
2015-02-10,7.322,7.553,7.273,7.518,1836935.0,0
2015-02-11,7.518,7.595,7.434,7.511,1241270.0,0
2015-02-12,7.511,7.518,7.294,7.462,1489541.0,0
2015-02-13,7.567,7.685,7.462,7.518,2083668.0,0
2015-02-16,7.518,7.539,7.399,7.497,1392200.0,0
2015-02-17,7.511,7.622,7.504,7.546,1206652.0,0
2015-02-25,7.553,7.567,7.343,7.413,1409325.0,0
2015-02-26,7.392,7.692,7.294,7.65,2150139.0,0
2015-02-27,7.636,7.776,7.553,7.588,1956068.0,0
2015-03-02,7.622,7.622,7.469,7.553,2187632.0,0
2015-03-03,7.525,7.525,7.203,7.217,2663724.0,0
2015-03-04,7.252,7.266,7.112,7.154,1565959.0,0
2015-03-05,7.105,7.105,6.874,6.923,2265045.0,0
2015-03-06,6.923,7.063,6.895,6.958,1280363.0,0
2015-03-09,7.084,7.706,6.944,7.574,4348014.0,0
2015-03-10,7.441,7.476,7.266,7.287,2548447.0,0
2015-03-11,7.336,7.609,7.336,7.392,2150697.0,0
2015-03-12,7.671,8.308,7.622,8.0,6327818.0,0
2015-03-13,8.049,8.476,7.972,8.119,4401783.0,0
2015-03-16,8.308,8.343,8.056,8.245,3161166.0,0
2015-03-17,8.336,8.392,8.168,8.294,3096776.0,0
2015-03-18,8.315,8.532,8.217,8.532,3546551.0,0
2015-03-19,8.532,8.539,8.322,8.364,3167709.0,0
2015-03-20,8.35,8.678,8.175,8.441,4565312.0,0
2015-03-23,8.49,8.643,8.455,8.553,3575927.0,0
2015-03-24,8.539,8.616,8.336,8.399,3246575.0,0
2015-03-25,8.336,8.42,8.021,8.084,3317303.0,0
2015-03-26,8.021,8.322,7.944,8.168,2823407.0,0
2015-03-27,8.14,8.301,8.035,8.168,2181749.78,0
2015-03-30,8.301,8.755,8.224,8.629,4874426.0,0
2015-03-31,8.951,9.021,8.434,8.469,4940492.0,0
2015-04-01,8.469,8.713,8.441,8.581,3058783.0,0
2015-04-02,8.825,8.881,8.525,8.741,4100876.0,0
2015-04-03,8.616,8.818,8.567,8.755,3203615.0,0
2015-04-07,8.965,9.224,8.93,9.112,5022602.0,0
2015-04-08,9.126,9.343,8.93,9.329,5148163.0,0
2015-04-09,9.35,9.65,9.175,9.224,4973354.0,0
2015-04-10,9.217,9.713,9.147,9.685,4515434.0,0
2015-04-13,10.007,10.35,9.748,10.035,5814065.0,0
2015-04-14,10.035,10.042,9.706,9.937,3728370.0,0
2015-04-15,9.874,10.329,9.811,9.986,4496439.0,0
2015-04-16,9.993,10.483,9.909,10.469,4159845.0,0
2015-04-17,10.678,10.748,10.343,10.434,4901593.0,0
2015-04-20,10.518,10.518,9.734,9.944,5724358.0,0
2015-04-21,9.839,10.147,9.839,10.126,3681946.0,0
2015-04-22,10.224,10.399,10.07,10.364,4207667.0,0
2015-04-23,10.364,10.462,10.091,10.168,3635936.0,0
2015-04-24,9.874,10.035,9.636,9.79,4229271.0,0
2015-04-27,9.818,10.189,9.818,10.133,3845414.0,0
2015-04-28,10.182,10.713,10.014,10.224,6000539.0,0
2015-04-29,10.203,10.476,10.056,10.385,3583937.0,0
2015-04-30,10.21,10.336,10.049,10.063,4127605.0,0
2015-05-04,10.014,10.014,9.734,9.881,2580645.0,0
2015-05-05,9.825,9.839,9.21,9.371,3753864.0,0
2015-05-06,9.371,9.671,9.294,9.357,3036078.0,0
2015-05-07,9.336,9.511,9.301,9.364,2143907.0,0
2015-05-08,9.448,9.525,9.189,9.392,1845600.0,0
2015-05-11,9.301,9.532,9.168,9.504,2771534.0,0
2015-05-12,9.49,9.595,9.343,9.483,2191763.0,0
2015-05-13,9.546,9.588,9.245,9.364,2452444.0,0
2015-05-14,9.385,9.49,9.273,9.308,1923619.0,0
2015-05-15,9.252,9.364,9.028,9.161,2095972.0,0
2015-05-18,9.049,9.147,8.853,8.881,1875552.0,0
2015-05-19,8.874,9.378,8.86,9.343,2422512.0,0
2015-05-20,9.343,9.657,9.294,9.42,2656757.0,0
2015-05-21,9.49,9.595,9.385,9.539,1664034.0,0
2015-05-22,9.636,9.867,9.553,9.846,2480875.0,0
2015-05-25,9.909,10.14,9.902,10.112,2738747.0,0
2015-05-26,10.168,10.329,9.951,10.287,3016652.0,0
2015-05-27,10.322,10.469,10.049,10.063,2969423.0,0
2015-05-28,10.084,10.112,9.322,9.343,3340322.0,0
2015-05-29,9.371,9.56,9.112,9.343,2560873.0,0
2015-06-01,9.343,10.07,9.217,9.965,2863792.0,0
2015-06-02,9.965,9.993,9.664,9.902,2249355.0,0
2015-06-03,9.937,10.049,9.692,9.944,2441396.0,0
2015-06-04,10.014,10.574,9.72,10.455,4718649.0,0
2015-06-05,10.713,10.832,10.028,10.315,3624201.0,0
2015-06-17,10.357,10.699,9.979,10.154,5131186.0,0
2015-06-18,10.077,10.189,9.762,9.818,2782967.0,0
2015-06-19,9.72,9.979,9.203,9.364,2780902.0,0
2015-06-23,9.46,9.907,9.313,9.858,2977488.0,0
2015-06-24,9.865,10.054,9.55,10.019,2578253.0,0
2015-06-25,10.264,10.362,9.599,9.641,2716490.0,0
2015-06-26,9.446,9.9,8.676,9.04,3617767.0,0
2015-06-29,9.355,9.516,8.313,9.082,4206756.0,0
2015-06-30,9.096,9.83,9.082,9.816,3754112.0,0
2015-07-01,9.711,9.795,9.285,9.369,2505559.0,0
2015-07-02,9.495,9.725,9.012,9.404,3222648.0,0
2015-07-03,9.418,9.592,8.516,9.054,3127010.0,0
2015-07-06,10.124,10.166,9.585,9.998,6594218.0,0
2015-07-07,9.802,10.418,9.467,10.243,7137635.0,0
2015-07-08,9.285,10.194,9.012,9.11,8379504.0,0
2015-07-09,9.11,10.124,8.711,9.809,5452372.0,0
2015-07-10,9.676,10.648,9.599,10.04,6477685.0,0
2015-07-13,9.837,10.18,9.711,9.872,3725946.0,0
2015-07-14,9.69,9.83,9.397,9.669,3057258.0,0
2015-07-15,9.634,9.935,9.502,9.893,3482535.0,0
2015-07-16,9.893,9.928,9.641,9.816,1814025.0,0
2015-07-17,9.865,9.977,9.76,9.858,1959275.0,0
2015-07-20,9.844,9.865,9.599,9.62,1729181.0,0
2015-07-21,9.55,9.648,9.355,9.411,1562682.0,0
2015-07-22,9.376,9.411,9.25,9.257,1203527.0,0
2015-07-23,9.313,9.502,9.271,9.446,1145254.0,0
2015-07-24,9.446,9.488,9.236,9.243,1236091.0,0
2015-07-27,9.145,9.215,8.334,8.383,2250915.0,0
2015-07-28,8.222,8.725,8.18,8.613,2460950.0,0
2015-07-29,8.599,8.655,8.529,8.648,1358586.0,0
2015-07-30,8.648,8.697,8.362,8.376,1189217.0,0
2015-07-31,8.425,8.557,8.201,8.495,2349412.0,0
2015-08-03,8.439,8.865,8.348,8.83,2123671.0,0
2015-08-04,8.781,8.914,8.711,8.879,851543.0,0
2015-08-05,8.865,8.893,8.634,8.662,581858.0,0
2015-08-06,8.557,8.844,8.543,8.711,653779.0,0
2015-08-07,8.851,8.893,8.718,8.774,653022.0,0
2015-08-10,8.76,9.047,8.69,8.991,1169382.0,0
2015-08-11,8.935,8.97,8.802,8.844,1051041.0,0
2015-08-12,8.725,8.865,8.711,8.718,791843.0,0
2015-08-13,8.774,8.837,8.648,8.76,740342.0,0
2015-08-14,8.774,8.823,8.704,8.788,663560.0,0
2015-08-17,8.732,8.732,8.599,8.669,1208920.0,0
2015-08-18,8.69,8.809,8.327,8.355,1984452.0,0
2015-08-19,8.355,8.564,8.096,8.446,1990620.0,0
2015-08-20,8.404,8.439,8.208,8.222,881247.0,0
2015-08-21,8.173,8.264,7.886,7.9,1237928.0,0
2015-08-24,7.697,7.711,6.907,6.956,3348594.0,0
2015-08-25,6.725,7.103,6.285,6.62,2894706.0,0
2015-08-26,6.802,7.292,6.627,7.061,2352145.0,0
2015-08-27,7.159,7.809,7.033,7.732,2120088.0,0
2015-08-28,7.816,7.97,7.641,7.914,2089509.0,0
2015-08-31,7.886,8.432,7.718,8.418,2026285.0,0
2015-09-01,8.208,8.683,8.033,8.676,3049046.0,0
2015-09-02,8.376,8.704,8.25,8.369,2550452.0,0
2015-09-07,8.257,8.453,7.858,8.096,2879486.0,0
2015-09-08,8.11,8.557,7.9,8.488,3308141.0,0
2015-09-09,8.383,8.634,8.383,8.557,2419175.0,0
2015-09-10,8.488,8.634,8.418,8.62,2057490.0,0
2015-09-11,8.69,8.907,8.655,8.837,2887085.0,0
2015-09-14,8.795,9.11,8.397,9.096,1839366.0,0
2015-09-15,8.816,8.83,8.613,8.767,1076024.0,0
2015-09-16,8.662,9.005,8.467,8.746,741289.0,0
2015-09-17,8.683,8.767,8.516,8.522,508486.0,0
2015-09-18,8.557,8.648,8.46,8.467,408992.0,0
2015-09-21,8.418,8.502,8.334,8.425,404883.0,0
2015-09-22,8.425,8.606,8.425,8.481,386738.0,0
2015-09-23,8.383,8.446,8.222,8.411,545806.0,0
2015-09-24,8.411,8.655,8.355,8.634,788625.0,0
2015-09-25,8.55,8.879,8.55,8.858,1360708.0,0
2015-09-28,8.83,9.117,8.739,9.089,914258.0,0
2015-09-29,8.998,9.138,8.914,9.124,1141902.0,0
2015-09-30,9.11,9.599,9.075,9.585,2110381.0,0
2015-10-08,9.704,9.704,9.026,9.054,1400571.0,0
2015-10-09,9.124,9.25,9.04,9.075,415258.0,0
2015-10-12,9.075,9.32,8.956,9.187,936333.0,0
2015-10-13,9.131,9.222,9.04,9.124,546987.0,0
2015-10-14,9.012,9.208,9.012,9.075,442978.0,0
2015-10-26,9.166,9.543,9.166,9.341,1010410.0,0
2015-10-27,9.306,9.46,9.25,9.369,749339.0,0
2015-10-28,9.327,9.522,9.208,9.362,742262.0,0
2015-10-29,9.355,9.585,9.306,9.557,757605.0,0
2015-10-30,9.495,9.62,9.411,9.418,454654.0,0
2015-11-02,9.355,9.509,9.299,9.432,381227.0,0
2015-11-03,9.425,9.683,9.404,9.467,604850.0,0
2015-11-04,9.446,9.788,9.446,9.732,650539.0,0
2015-11-05,9.739,10.592,9.669,10.341,2317996.0,0
2015-11-06,10.208,10.669,10.201,10.46,1275942.0,0
2015-11-09,10.488,11.376,10.46,10.648,1578200.0,0
2015-11-10,10.543,11.026,10.418,10.802,1404271.0,0
2015-11-11,10.83,10.886,10.194,10.355,921302.0,0
2015-11-12,10.404,10.425,9.949,10.096,777901.0,0
2015-11-13,9.984,10.264,9.949,10.25,734331.0,0
2015-11-16,10.082,10.25,9.984,10.138,451446.0,0
2015-11-17,10.166,10.411,10.138,10.152,635392.0,0
2015-11-18,10.173,10.32,10.012,10.117,575845.0,0
2015-11-19,10.054,10.536,10.054,10.474,1025434.0,0
2015-11-20,10.411,10.984,10.39,10.872,1482062.0,0
2015-11-23,10.9,11.334,10.851,11.285,1712037.0,0
2015-11-24,11.173,11.327,10.956,11.278,1293891.0,0
2015-11-25,11.173,11.718,10.851,11.711,3265247.0,0
2015-11-26,11.592,11.732,11.383,11.502,2149442.0,0
2015-11-27,11.355,11.536,10.823,10.914,1056087.0,0
2015-11-30,10.851,11.11,10.264,10.998,976338.0,0
2015-12-01,10.788,11.243,10.599,11.005,634305.0,0
2015-12-02,10.9,11.942,10.879,11.837,1536080.0,0
2015-12-03,11.732,11.781,11.397,11.418,1103463.0,0
2015-12-04,11.432,11.432,11.026,11.04,702758.0,0
2015-12-07,11.04,11.592,11.04,11.557,833468.0,0
2015-12-08,11.439,12.026,11.11,12.012,2398849.0,0
2015-12-09,11.648,11.648,11.32,11.404,920494.0,0
2015-12-10,11.481,11.858,11.32,11.432,570913.0,0
2015-12-11,11.25,11.397,10.844,10.963,870668.0,0
2015-12-14,10.76,10.984,10.564,10.858,707369.0,0
2015-12-15,10.851,11.117,10.662,10.76,516857.0,0
2015-12-16,10.795,10.858,10.62,10.669,387006.0,0
2015-12-17,10.725,10.97,10.683,10.886,533040.0,0
2015-12-18,10.886,11.802,10.844,11.11,922119.0,0
2015-12-21,11.096,11.522,10.921,11.341,824900.0,0
2015-12-22,11.25,11.446,11.082,11.173,531227.0,0
2015-12-23,11.18,11.334,10.97,11.159,661281.0,0
2015-12-24,11.138,11.341,11.012,11.271,571715.0,0
2015-12-25,11.257,11.578,11.194,11.467,554278.0,0
2015-12-28,11.502,11.543,10.977,11.033,499806.0,0
2015-12-29,10.984,11.187,10.816,11.061,472884.0,0
2015-12-30,11.04,11.089,10.76,10.942,356873.0,0
2015-12-31,10.907,10.907,10.725,10.732,279361.0,0
2016-01-04,10.739,10.739,10.229,10.404,422406.0,0
2016-01-05,10.201,10.585,10.124,10.516,580547.0,0
2016-01-06,10.474,10.641,10.327,10.613,467726.0,0
2016-01-07,10.404,10.474,10.124,10.201,113504.0,0
2016-01-08,10.362,10.46,9.781,10.187,719182.0,0
2016-01-11,9.991,10.159,9.816,9.879,901771.0,0
